output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,2,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.025,3,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.05,4,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.1,5,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.15,6,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.2,6,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.25,7,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.3,8,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.35,8,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.4,9,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.45,9,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.5,10,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.55,10,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.6,11,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.65,11,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.7,12,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.75,12,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.8,14,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.85,15,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.9,16,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.95,19,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.975,21,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.99,25.00999999999999,2025-05-03,wk inc covid hosp,0,2025-05-03,02
quantile,0.01,1,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.025,2,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.05,3,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.1,4,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.15,5,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.2,6,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.25,6,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.3,7,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.35,8,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.4,8,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.45,9,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.5,9,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.55,10,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.6,10,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.65,11,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.7,12,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.75,13,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.8,14,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.85,15,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.9,16,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.95,19,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.975,22,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.99,25.00999999999999,2025-05-03,wk inc covid hosp,1,2025-05-10,02
quantile,0.01,69,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.025,75,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.05,78,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.1,82,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.15,85,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.2,87,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.25,89,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.3,91,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.35,92,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.4,94,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.45,95,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.5,97,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.55,99,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.6,100,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.65,102.35000000000002,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.7,104,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.75,106,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.8,108,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.85,111,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.9,115,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.95,121.04999999999995,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.975,125.52499999999986,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.99,132,2025-05-03,wk inc covid hosp,0,2025-05-03,01
quantile,0.01,52,2025-05-03,wk inc covid hosp,1,2025-05-10,01
quantile,0.025,57,2025-05-03,wk inc covid hosp,1,2025-05-10,01
quantile,0.05,61,2025-05-03,wk inc covid hosp,1,2025-05-10,01
quantile,0.1,67,2025-05-03,wk inc covid hosp,1,2025-05-10,01
quantile,0.15,71,2025-05-03,wk inc covid hosp,1,2025-05-10,01
quantile,0.2,76,2025-05-03,wk inc covid hosp,1,2025-05-10,01
quantile,0.25,79,2025-05-03,wk inc covid hosp,1,2025-05-10,01
quantile,0.3,82,2025-05-03,wk inc covid hosp,1,2025-05-10,01
quantile,0.35,85,2025-05-03,wk inc covid hosp,1,2025-05-10,01
quantile,0.4,88,2025-05-03,wk inc covid hosp,1,2025-05-10,01
quantile,0.45,91,2025-05-03,wk inc covid hosp,1,2025-05-10,01
